project_id,metric,value,unit,window_start,window_end,source_url,fetched_at,missing_reason
rnn-das,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:06+00:00,not_published
rnn-das,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:06+00:00,not_published
rnn-das,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:06+00:00,not_published
rnn-das,canonical_citations,5,citations,,2026-08-17,https://api.openalex.org/works/https://doi.org/10.1029/2025jb031756,2026-08-17T18:08:31+00:00,
sigrecover,repo_stars,10,stars,,,https://api.github.com/repos/TCCS-CODES/sigrecover,2026-08-18T06:39:08+00:00,
sigrecover,repo_forks,4,forks,,,https://api.github.com/repos/TCCS-CODES/sigrecover,2026-08-18T06:39:08+00:00,
sigrecover,repo_contributors,1,contributors,,,https://api.github.com/repos/TCCS-CODES/sigrecover,2026-08-18T06:39:08+00:00,
sigrecover,repo_releases,0,releases,,,https://api.github.com/repos/TCCS-CODES/sigrecover,2026-08-18T06:39:08+00:00,
sigrecover,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:08+00:00,not_published
sigrecover,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:08+00:00,not_published
sigrecover,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:08+00:00,not_published
sigrecover,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:08+00:00,not_applicable
silixa-dts-tools,repo_stars,0,stars,,,https://api.github.com/repos/LeemanGeophysicalLLC/Silixa_DTS_Tools,2026-08-18T06:39:11+00:00,
silixa-dts-tools,repo_forks,0,forks,,,https://api.github.com/repos/LeemanGeophysicalLLC/Silixa_DTS_Tools,2026-08-18T06:39:11+00:00,
silixa-dts-tools,repo_contributors,1,contributors,,,https://api.github.com/repos/LeemanGeophysicalLLC/Silixa_DTS_Tools,2026-08-18T06:39:11+00:00,
silixa-dts-tools,repo_releases,0,releases,,,https://api.github.com/repos/LeemanGeophysicalLLC/Silixa_DTS_Tools,2026-08-18T06:39:11+00:00,
silixa-dts-tools,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:11+00:00,not_published
silixa-dts-tools,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:11+00:00,not_published
silixa-dts-tools,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:11+00:00,not_published
silixa-dts-tools,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:11+00:00,not_applicable
simpledas,repo_stars,28,stars,,,https://api.github.com/repos/ASN-Norway/simpleDAS,2026-08-18T06:39:13+00:00,
simpledas,repo_forks,10,forks,,,https://api.github.com/repos/ASN-Norway/simpleDAS,2026-08-18T06:39:13+00:00,
simpledas,repo_contributors,1,contributors,,,https://api.github.com/repos/ASN-Norway/simpleDAS,2026-08-18T06:39:13+00:00,
simpledas,repo_releases,4,releases,,,https://api.github.com/repos/ASN-Norway/simpleDAS,2026-08-18T06:39:13+00:00,
simpledas,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:13+00:00,not_published
simpledas,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:13+00:00,not_published
simpledas,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:13+00:00,not_published
simpledas,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:13+00:00,not_applicable
spool-processing,repo_stars,0,stars,,,https://api.github.com/repos/DASDAE/SpoolProcessing,2026-08-18T06:39:15+00:00,
spool-processing,repo_forks,2,forks,,,https://api.github.com/repos/DASDAE/SpoolProcessing,2026-08-18T06:39:15+00:00,
spool-processing,repo_contributors,1,contributors,,,https://api.github.com/repos/DASDAE/SpoolProcessing,2026-08-18T06:39:15+00:00,
spool-processing,repo_releases,0,releases,,,https://api.github.com/repos/DASDAE/SpoolProcessing,2026-08-18T06:39:15+00:00,
spool-processing,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:15+00:00,not_published
spool-processing,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:15+00:00,not_published
spool-processing,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:15+00:00,not_published
spool-processing,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:15+00:00,not_applicable
treble-sdk,repo_stars,6,stars,,,https://api.github.com/repos/terra15collab/TrebleSDK,2026-08-18T06:39:18+00:00,
treble-sdk,repo_forks,2,forks,,,https://api.github.com/repos/terra15collab/TrebleSDK,2026-08-18T06:39:18+00:00,
treble-sdk,repo_contributors,1,contributors,,,https://api.github.com/repos/terra15collab/TrebleSDK,2026-08-18T06:39:18+00:00,
treble-sdk,repo_releases,0,releases,,,https://api.github.com/repos/terra15collab/TrebleSDK,2026-08-18T06:39:18+00:00,
treble-sdk,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:18+00:00,not_published
treble-sdk,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:18+00:00,not_published
treble-sdk,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:18+00:00,not_published
treble-sdk,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:18+00:00,not_applicable
unidas,repo_stars,2,stars,,,https://api.github.com/repos/DASDAE/unidas,2026-08-18T06:39:20+00:00,
unidas,repo_forks,1,forks,,,https://api.github.com/repos/DASDAE/unidas,2026-08-18T06:39:20+00:00,
unidas,repo_contributors,1,contributors,,,https://api.github.com/repos/DASDAE/unidas,2026-08-18T06:39:20+00:00,
unidas,repo_releases,1,releases,,,https://api.github.com/repos/DASDAE/unidas,2026-08-18T06:39:20+00:00,
unidas,pypi_downloads_30d,22,downloads,,2026-08-17,https://pypistats.org/api/packages/unidas/recent,2026-08-17T18:51:05+00:00,
unidas,pypi_downloads_180d,343,downloads,2026-02-25,2026-08-16,https://pypistats.org/api/packages/unidas/recent,2026-08-17T18:51:05+00:00,
unidas,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-17T18:51:05+00:00,not_published
unidas,canonical_citations,,citations,,2026-08-17,https://api.openalex.org/,2026-08-18T06:39:20+00:00,not_applicable
xdas,repo_stars,73,stars,,,https://api.github.com/repos/xdas-dev/xdas,2026-08-18T06:39:22+00:00,
xdas,repo_forks,16,forks,,,https://api.github.com/repos/xdas-dev/xdas,2026-08-18T06:39:22+00:00,
xdas,repo_contributors,11,contributors,,,https://api.github.com/repos/xdas-dev/xdas,2026-08-18T06:39:22+00:00,
xdas,repo_releases,15,releases,,,https://api.github.com/repos/xdas-dev/xdas,2026-08-18T06:39:22+00:00,
xdas,pypi_downloads_30d,659,downloads,,2026-08-17,https://pypistats.org/api/packages/xdas/recent,2026-08-17T18:51:18+00:00,
xdas,pypi_downloads_180d,7188,downloads,2026-02-17,2026-08-16,https://pypistats.org/api/packages/xdas/recent,2026-08-17T18:51:18+00:00,
xdas,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/package/conda-forge/xdas,2026-08-17T18:51:18+00:00,not_published
xdas,canonical_citations,6,citations,,2026-08-17,https://api.openalex.org/works/https://doi.org/10.1785/0220240366,2026-08-17T18:08:32+00:00,
xpick,repo_stars,5,stars,,,https://api.github.com/repos/xdas-dev/xpick,2026-08-18T06:39:25+00:00,
xpick,repo_forks,0,forks,,,https://api.github.com/repos/xdas-dev/xpick,2026-08-18T06:39:25+00:00,
xpick,repo_contributors,1,contributors,,,https://api.github.com/repos/xdas-dev/xpick,2026-08-18T06:39:25+00:00,
xpick,repo_releases,2,releases,,,https://api.github.com/repos/xdas-dev/xpick,2026-08-18T06:39:25+00:00,
xpick,pypi_downloads_30d,,downloads,,2026-08-17,https://pypistats.org/api/,2026-08-18T06:39:25+00:00,not_published
xpick,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-18T06:39:25+00:00,not_published
xpick,conda_downloads_cumulative,,downloads,,2026-08-17,https://api.anaconda.org/,2026-08-18T06:39:25+00:00,not_published
xpick,canonical_citations,0,citations,,2026-08-17,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.10678341,2026-08-17T18:08:32+00:00,
