project_id,name,status,repository_url,forge_kind,forge_host,clone_result,ref,commits,first_commit_at,last_commit_at,repo_bytes,duration_s,error
daspy,DASPy,included,https://github.com/HMZ-03/DASPy,github,github.com,skipped,main,457,2024-03-27T17:36:22+08:00,2026-06-26T09:34:37+08:00,150728628,1.9,
dasstore,DASstore,included,https://github.com/niyiyu/DASstore,github,github.com,skipped,main,127,2022-11-15T13:58:20-08:00,2026-05-07T17:37:47-07:00,22193312,0.3,
dastools,dastools,included,https://git.gfz-potsdam.de/geofon/dastools,gitlab,git.gfz-potsdam.de,skipped,master,842,2019-06-17T01:06:48+02:00,2025-12-27T10:12:07+01:00,1087222,0.1,
dasvader,DASVader.jl,included,https://github.com/marianoarnaiz/DASvader.jl,github,github.com,skipped,main,90,2024-12-02T16:08:03+01:00,2026-07-03T21:57:36+02:00,9688789,0.1,
dasvader-ds,DASVaderDS.jl,included,https://github.com/marianoarnaiz/DASVaderDS.jl,github,github.com,skipped,main,13,2025-05-20T14:52:26+02:00,2025-05-20T16:24:10+02:00,9502013,0.0,
dasview,DASView,watchlist,https://github.com/hetinghong/DASView,github,github.com,skipped,main,11,2025-12-19T15:02:43+08:00,2025-12-27T12:17:49+08:00,6342953,0.0,
derzug,DerZug,included,https://github.com/DASDAE/derzug,github,github.com,skipped,main,57,2026-03-20T17:07:52+01:00,2026-08-13T17:11:16+02:00,5098317,0.1,
distpy,distpy,included,https://github.com/Schlumberger/distpy,github,github.com,skipped,master,64,2020-01-20T10:14:59+00:00,2022-11-08T21:54:37+00:00,1097427,0.1,
dss-analyzer,DSS_analyzer_Mariner,watchlist,https://github.com/shenyaojin/DSS_analyzer_Mariner,github,github.com,skipped,main,53,2023-10-05T18:04:02-06:00,2025-01-31T14:03:53-07:00,112083,0.0,
dts-r,dts,watchlist,https://github.com/jkennel/dts,github,github.com,skipped,master,126,2018-07-26T11:30:01-04:00,2025-11-07T16:09:01-05:00,2227393,0.0,
dtscalibration,python-dts-calibration,watchlist,https://github.com/dtscalibration/python-dts-calibration,github,github.com,skipped,main,1002,2018-08-01T00:49:53+02:00,2026-05-06T12:40:38+02:00,61936632,1.0,
edgedas,EdgeDAS,excluded,https://github.com/DASDAE/edgedas,github,github.com,skipped,master,2,2026-07-22T09:04:16-06:00,2026-07-22T09:09:36-06:00,8915382,0.0,
